Line,Mag,x,y
L10160,56809.0933673225,582922.4,6869321.5
L10160,56808.0221478241,582923.4,6869355
L10160,56807.2209140206,582923.6,6869389.5
L10160,56807.1196802171,582923.9,6869424
L10160,56806.7984464137,582924.1,6869457.5
L10160,56805.6989435291,582924.4,6869491.5
L10160,56804.1294406445,582924.6,6869526
L10160,56802.4799377598,582924.8,6869560
L10160,56801.5304348752,582925.1,6869594.5
L10160,56801.9809319906,582925.3,6869629
L10160,56804.361429106,582925.6,6869662.5
L10160,56808.023742971,582925.8,6869696.5
L10160,56812.156056836,582925.3,6869730.5
L10160,56816.078370701,582924.8,6869765
L10160,56819.7106845659,582924.2,6869799.5
L10160,56822.6629984309,582923.8,6869834
L10160,56824.3053122959,582922.5,6869868
L10160,56824.5597290127,582921.2,6869902.5
L10160,56824.0941314244,582920.8,6869937
L10160,56823.6885481413,582919.5,6869972.5
L10160,56823.592950553,582919,6870006.5
L10160,56823.6873672698,582918.5,6870040
L10160,56823.9817696816,582917.9,6870074
L10160,56825.5486039628,582916.7,6870107.5
L10160,56827.8754239389,582916.9,6870142
L10160,56829.3522582201,582917.2,6870177.5
L10160,56829.7390781962,582917.4,6870211.5
L10160,56829.9859124775,582916.9,6870245
L10160,56830.2727324536,582916.4,6870278.5
L10160,56829.6322274862,582915.9,6870312.5
L10160,56827.9717225187,582916.1,6870347
L10160,56827.1912175513,582916.4,6870381
L10160,56828.5207125839,582917.4,6870415
L10160,56831.4802076164,582918.4,6870449
L10160,56834.529702649,582918.6,6870483.5
L10160,56836.6020157892,582918.8,6870518.5
L10160,56837.0043146243,582919.1,6870552
L10160,56835.2766134593,582920.1,6870585.5
L10160,56830.8989122944,582920.3,6870620
L10160,56824.1712111295,582921.3,6870654.5
L10160,56815.2835099645,582921.5,6870688
L10160,56805.6686698225,582921.8,6870721.5
L10160,56797.5538153754,582922,6870755.5
L10160,56792.8989609283,582922.2,6870790
L10160,56791.7841064812,582923.2,6870824.5
L10160,56792.7792663392,582924.2,6870859.5
L10160,56794.0044118921,582923.7,6870893
L10160,56794.3323469424,582923.2,6870926.5
L10160,56793.5802676876,582923.4,6870960
L10160,56791.9282027378,582923.7,6870994
L10160,56790.2961377881,582923.9,6871028
L10160,56789.8240728384,582923.4,6871061.5
L10160,56791.3920078887,582923.6,6871095.5
L10160,56795.2524892494,582923.1,6871130
L10160,56800.2329563049,582922.6,6871164
L10160,56805.6334376656,582921.4,6871197.5
L10160,56810.5139190263,582921.6,6871232
L10160,56814.134400387,582921.1,6871266
L10160,56815.7548817477,582919.8,6871300.5
L10160,56815.7174087398,582918.6,6871335
L10160,56814.8899500371,582918.1,6871370
L10160,56814.3624770292,582917.6,6871405.5
L10160,56814.2850040213,582917.1,6871440
L10160,56814.2075453185,582916.6,6871473.5
L10160,56813.4800723106,582916.8,6871507.5
L10160,56812.354001204,582916.2,6871541.5
L10160,56811.0379157922,582915.8,6871575.5
L10160,56809.5718446855,582915.2,6871610
L10160,56807.8957592738,582916.2,6871644.5
L10160,56806.6296881671,582917.2,6871679.5
L10160,56806.8836027554,582916.8,6871713
L10160,56808.9681324635,582916.2,6871746.5
L10160,56811.9526478666,582916.4,6871780.5
L10160,56814.7771632697,582915.9,6871815
